Code du département;Libellé du département;Inscrits;Abstentions;Abs_Ins;Votants;Vot_Ins;Blancs;Blancs_Ins;Blancs_Vot;Nuls;Nuls_Ins;Nuls_Vot;Exprimés;Exp_Ins;Exp_Vot;Sexe;Nom;Prénom;Voix;Voix_Ins;Voix_Exp
82;Tarn-et-Garonne;183329;39522;21,56;143807;78,44;12693;6,92;8,83;5960;3,25;4,14;125154;68,27;87,03;M;MACRON;Emmanuel;71988;39,27;57,52
82;Tarn-et-Garonne;183329;39522;21,56;143807;78,44;12693;6,92;8,83;5960;3,25;4,14;125154;68,27;87,03;F;LE PEN;Marine;53166;29;42,48
34;Hérault;800264;197629;24,7;602635;75,3;55367;6,92;9,19;19702;2,46;3,27;527566;65,92;87,54;M;MACRON;Emmanuel;312419;39,04;59,22
34;Hérault;800264;197629;24,7;602635;75,3;55367;6,92;9,19;19702;2,46;3,27;527566;65,92;87,54;F;LE PEN;Marine;215147;26,88;40,78
31;Haute-Garonne;906832;220547;24,32;686285;75,68;60572;6,68;8,83;22453;2,48;3,27;603260;66,52;87,9;M;MACRON;Emmanuel;436665;48,15;72,38
31;Haute-Garonne;906832;220547;24,32;686285;75,68;60572;6,68;8,83;22453;2,48;3,27;603260;66,52;87,9;F;LE PEN;Marine;166595;18,37;27,62
66;Pyrénées-Orientales;347864;86711;24,93;261153;75,07;23579;6,78;9,03;13056;3,75;5;224518;64,54;85,97;M;MACRON;Emmanuel;118644;34,11;52,84
66;Pyrénées-Orientales;347864;86711;24,93;261153;75,07;23579;6,78;9,03;13056;3,75;5;224518;64,54;85,97;F;LE PEN;Marine;105874;30,44;47,16
30;Gard;537840;130425;24,25;407415;75,75;37436;6,96;9,19;13865;2,58;3,4;356114;66,21;87,41;M;MACRON;Emmanuel;194989;36,25;54,75
30;Gard;537840;130425;24,25;407415;75,75;37436;6,96;9,19;13865;2,58;3,4;356114;66,21;87,41;F;LE PEN;Marine;161125;29,96;45,25
1;Ain;415950;93130;22,39;322820;77,61;28852;6,94;8,94;8738;2,1;2,71;285230;68,57;88,36;M;MACRON;Emmanuel;173809;41,79;60,94
1;Ain;415950;93130;22,39;322820;77,61;28852;6,94;8,94;8738;2,1;2,71;285230;68,57;88,36;F;LE PEN;Marine;111421;26,79;39,06
