"canton","nom","voix","votants","inscrits","abstention","blancs","nuls","exprimes","blancs_inscrits","abstention_inscrits","votes_votant"
"Nîmes","MACRON",5276686,9080656,12958828,3878172,732931,269690,8078035,5.7,29.9,58.1
"Toulouse","MACRON",34652394,48039075,68117868,20078793,3949533,1364202,42725340,5.8,29.5,72.1
"Béziers","MACRON",3752920,8770776,11877288,3106512,789344,266560,7714872,6.6,26.2,42.8
"Montpellier","MACRON",9213184,13409872,19290376,5880504,1099832,327352,11982688,5.7,30.5,68.7
"Perpignan","MACRON",4046544,8058660,11361924,3303264,663024,303582,7092054,5.8,29.1,50.2
"Nîmes","LE PEN",2801349,9080656,12958828,3878172,732931,269690,8078035,5.7,29.9,30.8
"Toulouse","LE PEN",8072946,48039075,68117868,20078793,3949533,1364202,42725340,5.8,29.5,16.8
"Béziers","LE PEN",3961952,8770776,11877288,3106512,789344,266560,7714872,6.6,26.2,45.2
"Montpellier","LE PEN",2769504,13409872,19290376,5880504,1099832,327352,11982688,5.7,30.5,20.7
"Perpignan","LE PEN",3045510,8058660,11361924,3303264,663024,303582,7092054,5.8,29.1,37.8
