Code du département;Libellé du département;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Voix;% Voix/Ins
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;F;LE PEN;Marine;161119;20,13
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;MÉLENCHON;Jean-Luc;143996;17,99
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;MACRON;Emmanuel;128621;16,07
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;FILLON;François;110339;13,79
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;HAMON;Benoît;36180;4,52
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;DUPONT-AIGNAN;Nicolas;23159;2,89
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;LASSALLE;Jean;8461;1,06
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;ASSELINEAU;François;5919;0,74
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;POUTOU;Philippe;5660;0,71
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;F;ARTHAUD;Nathalie;2496;0,31
34;Hérault;800394;159370;19,91;641024;80,09;10051;1,26;1,57;4129;0,52;0,64;626844;78,32;97,79;M;CHEMINADE;Jacques;894;0,11
